review,sentiment
"This is an excellent film about a traditional working class family in Northern England. Filmed on location in Bolton, it stars James Mason as the father who is the dominant force within his home. Or so it seems. Cleverly, the film, based on the play, portrays the complexities of family life. The supporting cast is terrific as well, with many familiar faces lending support.",positive
"The one who says that Lucio Fulci is not one of the most important names in the history of splatter is probably mad.The Italian director is a legend among hardcore-horror fans,and his work exceeds the barriers of the genre(who can forgot his western,crime or fantasy flicks).This is probably his goriest film,and unfortunately one the last.A horror director(Fulci as himself) starts hallucinating about gruesome murders.He goes to a psychiatrist,who makes him believe he is the criminal.In this time,the doctor begins a long chain of serial crimes.With such a plot,the movie should have been filled with something.And there are roting corpses,crashed or melted heads,stabbings,decapitations,chainsaw dismemberment and many others.Kind of boring sometimes,the film is saved by the excessive violence that will definitely please the gore addicts.",positive
"I highly reccommend this movie. It blurs the line between childhood fantasy and everyday reality in such a seamless fashion that it has to be seen to be believed. The actors and director have such perfect timing that in one scene a name calling fight becomes a sort of dance. I loved the story line, the actors, everything. While I do think there were one or two decidedly cheesy scenes, over-all the movie was impeccably done.",positive
"I haven't seen so many people packed outside a theater since Star Wars Episode III. Both shows sold out, and for good reason. The Man With the Screaming Brain was the best movie to see with a crowd full of geeks. (Hey, I'm a dork too.) <br /><br />Bruce Campbell was present and had the whole crowd in stitches! The movie was cheesy in the best possible way. It may be the funniest movie that Bruce has done. Ted Raimi steals the show with his Bulgarian hip hop-itude and zany facial expressions, he is a laugh riot! Who knew that Ted could rap? <br /><br />I changed my mind, the person who stole the show was actually a robot. There is nothing funnier than a robot...doing the robot.<br /><br />As for Bruce's performance: ""I take the 5th."" Thanks Bruce. Thanks for being cool, thanks for taking the time, thanks for all of the fun.",positive
"Steven Seagal appears to be sleepwalking through a dreadful movie shot almost entirely in close-up to disguise the complete lack of budget and resources. To pick on the technical flaws - silver F/A-18s and F-14s take of from a carrier for an air-strike, and miraculously become camouflaged F-16s for the actual strike - would give this movie more credibility than it deserves. Suffice it to say that the most interesting thing in the movie is the credit titles which fade on and then disappear in a lightning wipe, which presumably is available to all users of Final Cut Pro. Putting all your creativity into your own credit puts Michael Keusch in the same category as Marcel Mandu.",negative
"The quality you're likely to remember after viewing The Big Knife is how claustrophobic it is. It's pacing is sacrificed to a uniform texture of dialog. It's talky in the extreme. Modern viewers will feel every point has been made (and then some) but the movie will still not move on, or do the viewer a favor and change the scenery. It's very inert. At the 45 min mark I was sure I had watched two very slow hours. My beleaguered response was, ""Good God, where is this going?"" It feels like Odets was paid by the word...<br /><br />This is a good place to note the decline of drama from it's high point in the 40s through the conceit-laden projects of the 50s and 60s until actual filmic merit was rediscovered in the 70s, only to vanish again. Here we get show-offy, conventional, emotional outbursts from Steiger, Lupino et al. and camera moves pre-arranged to meet over-practiced blocking. This is due to the rise of the Method; the regrettable trend of sacrificing every other merit of film, to grant actors their most selfish wishes. ""Great acting,"" ho-hum, has killed thought in movies.<br /><br />Jack Palance's forehead & pompadour retract and thrust forward every time he reacts to something. It's disturbing.<br /><br />This is awfully boring stuff.",negative
"Dolph Lundgren stars as a former cop/boxer who searches Boston's kinky scene to find out who killed his brother,who was well thought of in the community, however along the way he learns how his brother enjoyed kinky sex and that a serial killer is to blame. Dolph Lundgren is very good in this movie, in fact on the basis of his performance here, one would forget Lundgren's rise to fame involved action roles. That said the material gives Lundgren nothing to work with, in fact, Lundgren is completely left out to dry in a dreary thriller which is both predictable and incomprehensible. Co-Star Danielle Brett is also good, in fact the film works best when it centers around the chemistry of Lundgren and Brett, indeed had the film taken the time to explore their relationship the film would've been fairly decent. However the movie is lackluster, the action is non-existent, the plot not given enough exploration (Too much boring B.S around Lundgren's investigation of his brother's employer) and the film is needlessly gory and ridiculous. Once again, Lundgren is actually really good (As is newcomer Danielle Brett) but the film just lumbers from one sequence to the next, which makes this movie particularly disappointing. If anything else though, it shows how underrated Lundgren is, as an actor.<br /><br />*1/2 Out Of 4-(Poor)",negative
"A wonder. One of the best musicals ever. The three Busby Berkely numbers that end the movie are spectacular, but what makes this film so wonderful is the incredible non-stop patter and the natural acting of Cagney and Blondell. (Keeler is also lovely, even though she may not have been a great actress). There's a freshness in the movie that you don't see in flicks today, much less in the usually stilted 30s films, even though the plot, involving the setting up of movies prologues, is quite dated.",positive
"I'm guessing that we all, no matter if we are fans of cars, luv the sound of a Dodge Challenger as it growls along the road, the noise a 57 Chevy make as it screams with ecstasy when it tears round a corner and, most of all, the blast of sound as a classic vehicle bursts into flames as it explodes. I'm not the biggest car enthusiast by any stretch of the imagination, but any of the above really does rev my engine! There's no denying the importance of transport on cinema. It has even been said that the invention of the train was one of the biggest influences on early cinema (looking out a window almost like a moving picture and the idea of being transported to a different time/space). But the car remains the most popular and most luved, it's even got its own genre: the carsploitation genre. A genre that focuses purely on the beauty of cars. In effect, it's just porn! Car porn! And I'm not talking about that rather nasty documentary on Channel 4 in which men actually had sexual intercourse with cars. Whatever floats your...car, I guess. Moving on... whilst RUNNING ON EMPTY isn't quite as pornographic as VANISHING POINT (Richard C. Sarafian, 1971) for instance, with its close ups of the car in motion, all it's bumps and curves (!), this doesn't mean that the car isn't the main focus of this film. In fact, the cars themselves become characters (more on that later). They're objectified and fetishised as much as the women, in fact, maybe even more. And holy holy, are these cars something! Every car in this film (besides the ones in the background) are simply beautiful  works of art, there's no question about it.<br /><br />As I was saying, these incredible cars are, in a way, given characters themselves. You actually start sympathising with the car! SPOILER  Most notably during the scene in which the car is being wrecked and burnt SPOILER OVER. This has become almost a convention of the carsploitation genre; the evil 1978 Plymouth Fury from CHRISTINE (John Carpenter, 1983), Satan's custom Lincoln Mark III in THE CAR (Elliot Silverstein, 1977), the nifty little Mini Coopers from THE Italian JOB (Peter Collinson, 1969) to the friendly Volkswagen Beetle in THE LOVE BUG (Robert Stevenson, 1968) and of course each car from DEATH RACE 2000 (Paul Bartel, 1975) and even WACKY RACES (1968-1970) all of which had their own character. Ironically however, this emphasis on the car often over takes (!) the human characters! And this is certainly the case with RUNNING ON EMPTY, in which only one human character (the blind character who drives his car with his hearing rather than sight) has any sort of dimension, the rest are very much stock characters. These are all your stereotypical Australian 1980s teenagers; big hair, annoying accents and none of whom would look out of place in NEIGHBOURS, especially the Kylie Minouge look-a-like. But who gives a damn? It's all about the cars racing and crashing! That's it! If you don't like that you really are watching the wrong genre.<br /><br />The car scenes are certainly the selling point of this film, and the best thing it's got going for it. They are fast; very fast! And we're not talking about the rather annoying technique some films seem to use where they record the car 'speeding' at around 40mph, and then speed it up. Oooh no! Not with this film you don't. These cars are zooming along at top speeds in real time  no fancy editing tricks here. So, we've got speed. Check. What about crashes? Check, check, check! Whilst there isn't cars crashing EVERYWHERE a la the incredibly BLUES BROTHERS (John Landis, 1980) , when cars do crash in this film, they certainly crash! It would seem that they use gunpowder or something similar to build the cars as one little hit and KABOOM they're up in flames. It kind of reminded me of THRILLER: A CRUEL PICTURE (Bo Arne Vibenius, 1974) in that sense.<br /><br />Between these simply awesome scenes (especially the very start and the very end) there are quite a few scenes which slow everything done and, in my opinion, fail to add very much to the film. Note: more exploding cars needed! However there are a couple of exceptions here which are great scenes  SPOILER especially the attempted rape scene.<br /><br />So, all in all, this is a man's film! A boy's film! Full of cars vroom vroom vrooming around the outback and a couple of tits thrown in for good measure too. I'd recommend this little film to anyone even if they are keen cyclists (!)  it's a great film which you can just switch your brain off, sit back in your leather chair and put on full volume! I'll give it 3.5 luvs out of 5 luvs  Bruuuuum! P.S  Amazon are selling this for just over £2  it's a real bargain although the DVD lacks any special features whatsoever.",positive
"Went looking for this movie after i read Tom Clancy's ""Red Storm Rising"" novel. Timeless masterpiece about 13th century Russians being invaded by the Germans. Movie was made in 1938, under orders from Joseph Stalin to warn Soviets about Hitler and Germany. Battle scenes are wonderfully done, showing that you don't need computer animation to make a great fight scene. Probably Sergei Eisenstein's greatest work. Also see 'Battleship Potemkin'. Any history buff or poli-sci major should watch this movie. 10 out of 10.",positive
This movie was a fascinating look at creole culture and society that few African Americans are aware. My own two children are by products of a paternal grandmother whose father was a member of the gens de couleur libre and a black skin woman whose parents were ex-slaves. He married outside of and against his culture and was cut off from all of his family except for one sister who took pity on her brothers plight; raising 8 children during the great depression of 1929; providing the family with food whenever she could. Of course she clandestinely aided this family fearing for her own ex-communication. My daughter was fascinated by the movie. We have made it a part of our library.,positive
"Principally it is the story of two men who were part of the Portuguese revolution. It was easy to understand the contest, but usually directors starts from a historical fact to speak about something else, or they shows also the period before or after this fact, here everything happen during that couple of days when the revolution acts. It could also be seen as a kind of documentary. The movie focalize to these two people, showing as normal they were, not like common heroes, because the revolution come from people. Although it was made from military army from the title you can understand that they were just ""capitaes"" as the main characters. Nice colors and lights during the whole movie, excellent work for the director being her first movie, she doesn't fall to the banal way. Well shown emotions and passion of people and crowd. The character of Maia (main one)is well-made and there is also a good interpretation for Stefano Accorsi, able to show Maia's limits, this not-being an hero.",positive
"""It's not like that big mechanical toy"", says a character early on, commenting on ""Jaws"". Well, ""Blood Surf"" would only wish to have a beast as convincing as the shark of the ""Jaws"" series. In other words, the digital special effects of this movie are TERRIBLE. Acting and directing are not much better, either; they seem more suited to a deodorant or a bubble-gum commercial than to a horror movie. The attitude of the people who worked on this film shows contempt not only for the genre, but for the audience too. Saying you ""liked"" this film only encourages filmmakers to offer us more of this crap, further destroying the poor horror genre. (*1/2)",negative
"Why is it that a woman cannot be a strong character in a movie without sleeping with the leading man? The campaign manager in this movie dreams of leading Tom Sellick to the White House. It's all she can think about. So, why on earth must she have had an affair with him? It added nothing to the plot and served only to demean successful women. The only value of that tidbit was the cute ""we've all slept with your husband"" scene. <br /><br />Also, couldn't the people who made this movie have watched the national conventions they were spoofing? Airing between the two major political conventions only served to highlight their total ignorance of the nomination and selection process.",negative
"Not since Bette Davis's 1933 vehicle ""Ex-Lady"" have I seen a film that was so much better than its star said it was! Most of the bum rap ""Atoll K,"" a.k.a. ""Utopia,"" a.k.a. ""Robinson Crusoeland,"" a.k.a. ""Escapade"" has got over the years has come from the horror stories Stan Laurel told of its production. Given that he suffered a stroke during filming, looked like death warmed over through much of it (from the opening two-shot of them together you'd never guess that Laurel survived Hardy by eight years) and was subsequently diagnosed with diabetes (once he adjusted his diet accordingly he restored himself to health), one can understand why Laurel didn't think this film was the most pleasant experience of his life. Yes, it's flawed: the cheapness of the production shows through, the dubbing is awful and Laurel and Hardy were too old to do the energetic slapstick of their greatest films. But it's still genuinely funny, and Léo Joannon's story introduces elements of political satire (sometimes libertarian, sometimes communalist) one would expect to see from more socially conscious comedians like Chaplin or the Marx Brothers but never from Laurel and Hardy. The film deserves credit for being different (though its debt to the Ealing Studios' classic ""Passport to Pimlico,"" made just a year earlier, is pretty obvious) and for integrating the Laurel and Hardy comedy into a rather edgy context completely different from anything they'd used before. This isn't a great movie, but it's certainly better than the eight dreary ones for Fox and MGM they'd made in the early 1940's. I suspect only the film's technical crudity kept it from earning the cult following among anti-establishment baby-boomer youth the Marx Brothers' ""Duck Soup"" acquired in the late 1960's/early 1970's.",positive
"Admittedly, Parsifal is not an opera that can appeal to everyone, although it is a favourite of mine, Knappertsbusch, 1951, in particular. Syberberg's entire approach is so static. Whenever the music suddenly begins to swell ... Syberberg keeps the cast moving at the same pace. The takes on Amfortas and Klingsor are endless. Whatever happened to film editing? The result is physically exhausting to watch. The viewer is never spiritually transported. Your impulse is to rush home and play a recording again to confirm that Wagner got it right, Syberberg got it wrong. And that set decoration with those ""clever"" reminders of Wagner's anti-Semitism -- will there ever be a viewer of this film with no prior knowledge of Wagner?",negative
"i love bad shark movies. i really do. i laugh hysterically at them. and the scifi channel was having a marathon of them, culminating in the premier of their new original picture, hammerhead: shark frenzy. based on the previews, it looked like it was going to be HIGHLY amusing. essentially a remake of benchley's creature, really. it was prefaced by a showing of shark attack 3: megalodon, which is shark movie hilarity at its best. i was in the mood; i was ready to go. bring it on, hammerhead-mad-scientist-man! oh, god, was that movie wrong.<br /><br />wrong, wrong, wrong.<br /><br />sick. twisted. MESSED UP.<br /><br />this is theoretical reproduction at its very worst, my friends. when a drugged-out girl is brought out of suspended animation and strapped to a table screaming her head off because the shark-human hybrid fetus the absolutely insane ""scientist"" deliberately implanted in her womb wants OUT... Jesus monkeys. that's what i call disturbing.<br /><br />that's really how the plot works: hmmm, thought the mad scientist. my son died of cancer, but i brought him back to life by combining his dna with that of a hammerhead shark, because sharks don't succumb to cancer and further hammerheads reproduce via placenta. oh, look! a perfect amphibious being! i've created the next evolution of the human race! I KNOW! let's make him reproduce! but darned if all those shark genes have't made my son bloodthirsty; instead of raping the hot babes i keep sending into his little jungle paradise, he keeps eating him. but check this out! among the random people who have, by way of some unimportant plot twist, ended up on my research island, is the woman to whom my son was engaged before he died! i bet he'll do HER! all this leads up to an extremely touching and heartfelt reunion: woman: you're going to impregnate me? mad scientist: no. he is. (indicates thrashing shark-person in tank) how sweet.<br /><br />DO NOT WATCH THIS MOVIE. ever.",negative
